user,recovery_time,max_recovery_time,median_recovery_time
user_000001,19.417176,32.362844,16.047631
user_000002,30067.634786,59074.926732,30067.634786
user_000003,345.067032,8088.079477,22.802703
user_000004,5.262786,9.436075,4.497945
user_000005,164.743175,673.742819,25.538759
user_000006,675.890449,1498.997138,586.36395
user_000007,10269.161695,61578.666232,8.807498
user_000009,4897.266322,54897.911125,42.190315
user_000010,29.415221,29.415221,29.415221
user_000011,2158.15923,7649.344422,754.470052
user_000012,265.556216,265.556216,265.556216
user_000014,115.285399,1009.869149,11.418917
user_000015,8.580373,12.177314,8.580373
user_000016,32.402436,62.418021,23.627464
user_000017,585.597074,5991.926384,11.488492
user_000018,569.43372,2650.153757,142.961349
user_000019,40513.378639,358660.303807,12685.231507
user_000020,47.284886,66.632125,47.284886
user_000021,0.0,,
user_000022,10731.163396,25644.7009,5164.569903
user_000023,0.0,,
user_000024,2759.832986,16440.618671,24.589732
user_000025,17.733756,17.733756,17.733756
user_000026,1317.657131,3845.008756,66.426087
user_000027,21267.003715,63630.539647,123.111795
user_000028,69928.242763,349379.328909,64.29636
user_000029,4942.570389,41649.461173,71.219695
user_000030,19.775629,98.221814,7.699638
user_000031,631.567709,11665.859522,5.884356
user_000032,61.737637,67.712448,61.737637
user_000033,7803.822558,85603.167432,21.546939
user_000034,0.0,,
user_000035,9.097126,13.570817,9.097126
user_000036,24.634959,38.001798,24.634959
user_000037,9.879165,14.110222,9.879165
user_000038,1112.088668,65885.896082,8.584836
user_000039,50039.760531,1034461.145609,16275.53016
user_000040,7909.356011,31403.533135,111.448088
user_000041,22.353051,36.353773,22.843806
user_000042,36.704329,36.704329,36.704329
user_000043,76.161227,127.269604,76.161227
user_000044,365593.839509,675868.453939,365593.839509
user_000045,24602.459104,236781.291838,31.303818
user_000047,137.129102,1265.541453,39.587285
user_000048,13.262382,19.810808,13.262382
user_000049,65.32943,283.628934,24.260466
user_000050,22.374726,34.578852,22.374726
user_000051,4187.46877,18876.023199,946.081023
user_000052,160.241981,925.345721,20.46781
user_000053,0.0,,
user_000054,335.246431,1633.791572,45.80895
user_000055,1682.042737,21054.072554,22.658271
user_000056,6815.888299,68790.196236,188.091709
user_000057,40886.718597,230825.631864,522.678334
user_000058,1899.663132,14558.55869,428.964794
user_000059,9602.681796,249068.447184,10.674773
user_000060,12815.832598,105767.348323,49.109306
user_000061,0.0,,
user_000062,99.156294,469.672118,18.062056
user_000063,0.893317,0.893317,0.893317
user_000064,92.678917,932.145408,6.744297
user_000065,81.314345,136.422145,81.314345
user_000066,8.772205,8.772205,8.772205
user_000067,0.0,,
user_000068,16.071264,16.071264,16.071264
user_000069,13.579066,16.318785,13.752253
user_000070,357.871745,1152.811578,263.039085
user_000071,5945.035307,70390.855621,20.527647
user_000072,1442.873842,5669.61741,47.72399
user_000073,0.0,,
user_000074,0.0,,
user_000075,135.525257,135.525257,135.525257
user_000076,329.375032,1168.975487,62.176363
user_000077,2677.26136,18359.002452,52.271885
user_000078,34.533928,59.960338,34.290664
user_000080,1527.364574,4079.107809,445.833719
user_000081,19.299842,31.911242,20.415318
user_000082,331.045443,651.458524,331.045443
user_000083,350.537872,350.537872,350.537872
user_000084,181.739911,486.185555,54.897984
user_000085,23.245092,61.973773,13.130436
user_000086,20492.601826,81909.529442,26.905047
user_000087,486.318883,2204.505669,7.714461
user_000088,25484.440397,76433.016184,11.749584
user_000089,0.0,,
user_000090,4814.395674,4814.395674,4814.395674
user_000091,9954.161655,72548.250051,20.690106
user_000092,0.0,,
user_000093,4622.679493,9202.66184,4622.679493
user_000094,92.994504,250.445769,27.153253
user_000095,235.953615,1721.004858,13.923519
user_000096,196.015528,212.130585,196.015528
user_000097,381.761194,1343.519101,72.551173
user_000098,0.0,,
user_000099,16.56834,28.502745,16.119981
user_000100,341.060441,2699.4395,11.351471
user_000101,15.241047,25.67347,15.241047
user_000104,0.0,,
user_000105,18109.548419,235328.026708,4812.502987
user_000106,0.0,,
user_000107,33.157712,69.178327,23.14434
user_000108,7.942606,36.288169,3.841605
user_000110,41121.932475,82190.002219,41121.932475
user_000111,6.222498,6.222498,6.222498
user_000112,1510.12471,51314.120758,10.107105
user_000113,5832.101556,79053.461019,11.516616
user_000114,21.828558,117.606468,9.962369
user_000115,3157.31252,63055.617841,55.611458
user_000116,8208.225562,61111.974835,406.090939
user_000117,129.870205,244.2935,129.870205
user_000118,246.176669,246.176669,246.176669
user_000119,19047.5037,72142.696751,2018.024525
user_000120,57.580239,133.50576,52.754188
user_000121,1272.38292,2433.325967,1272.38292
user_000122,12991.521174,64291.59636,20.451015
user_000124,221.56726,2733.186569,52.366393
user_000125,67.699789,130.235267,67.699789
user_000126,12.880307,12.880307,12.880307
user_000127,503172.046546,994841.291254,503172.046546
user_000128,13614.232247,100201.664975,181.748512
user_000129,5205.053012,76715.952079,76.92689
user_000130,158521.837118,792321.680371,81.543062
user_000131,12.100478,12.100478,12.100478
user_000132,5.548494,5.548494,5.548494
user_000133,13886.326789,13886.326789,13886.326789
user_000134,448.146081,3617.776561,44.126713
user_000135,107232.084835,428907.931346,7.365067
user_000136,817.903778,8910.216264,7.403532
user_000137,0.0,,
user_000138,144.703006,2010.77845,22.984808
user_000139,25.895348,97.224307,6.883704
user_000140,0.0,,
user_000141,1942.194145,9596.449341,28.317448
user_000142,450158.173631,2068622.692125,71.776611
user_000143,8.618246,8.618246,8.618246
user_000144,38.53574,113.158455,1.465397
user_000145,15.363591,26.431165,14.061933
user_000146,6623.715611,72556.711415,18.705178
user_000147,2063.120282,8204.568919,18.047106
user_000148,16.270527,16.270527,16.270527
user_000149,35.197058,95.50711,17.35551
